V,0
V,1
V,2
V,3
V,4
V,5
V,6
V,7
V,8
V,9
V,10
V,11
V,12
V,13
V,14
V,15
E,0,1
E,0,4
E,0,5
E,1,0
E,1,2
E,1,4
E,1,5
E,1,6
E,2,1
E,2,3
E,2,5
E,2,6
E,2,7
E,3,2
E,3,6
E,3,7
E,4,0 
E,4,1
E,4,5
E,4,8
E,4,9
E,5,0
E,5,1
E,5,2
E,5,4
E,5,6
E,5,8
E,5,9
E,5,10
E,6,1
E,6,2
E,6,3
E,6,5
E,6,7
E,6,9
E,6,10
E,6,11
E,7,2
E,7,3
E,7,6
E,7,10
E,7,11
E,8,4
E,8,5
E,8,9
E,8,12
E,8,13
E,9,4
E,9,5
E,9,6
E,9,8
E,9,10
E,9,12
E,9,13
E,9,14
E,10,5
E,10,6
E,10,7 
E,10,9
E,10,11
E,10,13
E,10,14
E,10,15
E,11,6
E,11,7
E,11,10
E,11,14
E,11,15
E,12,8
E,12,9
E,12,13
E,13,8
E,13,9
E,13,10
E,13,12
E,13,14
E,14,9
E,14,10
E,14,11
E,14,13
E,14,15
E,15,10
E,15,11
E,15,14
